Source                Destination           Protocol TTL
222.63.218.54         10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
192.69.59.5           10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
219.152.64.104        10.22.1.3             TCP      128
10.20.0.172           10.22.1.3             TCP      128
10.20.0.172           10.22.1.3             TCP      128
10.20.0.172           10.22.1.3             TCP      128
10.20.0.172           10.22.1.3             TCP      128
10.20.0.172           10.22.1.3             TCP      128
10.20.0.172           10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
195.118.22.117        10.22.1.3             TCP      128
210.81.128.152        10.22.1.3             TCP      128
210.81.128.152        10.22.1.3             TCP      128
210.81.128.152        10.22.1.3             TCP      128
210.81.128.152        10.22.1.3             TCP      128
210.81.128.152        10.22.1.3             TCP      128
210.81.128.152        10.22.1.3             TCP      128
210.81.128.152        10.22.1.3             TCP      128
210.81.128.152        10.22.1.3             TCP      128
210.81.128.152        10.22.1.3             TCP      128
210.81.128.152        10.22.1.3             TCP      128
210.81.128.152        10.22.1.3             TCP      128
210.81.128.152        10.22.1.3             TCP      128
10.22.1.1             10.22.1.3             TCP      128
10.22.1.1             10.22.1.3             NBSS     128
10.22.1.1             10.22.1.3             SMB      128
10.22.1.1             10.22.1.3             SMB      128
10.22.1.1             10.22.1.3             SMB      128
10.22.1.1             10.22.1.3             SMB      128
10.22.1.1             10.22.1.3             SMB      128
10.22.1.1             10.22.1.3             DCERPC   128
10.22.1.1             10.22.1.3             SMB      128
10.22.1.1             10.22.1.3             SPOOLSS  128
10.22.1.1             10.22.1.3             SMB      128
10.22.1.1             10.22.1.3             TCP      128
10.22.1.1             10.22.1.3             SMB      128
10.22.1.1             10.22.1.3             SMB      128
10.22.1.1             10.22.1.3             TCP      128
10.22.1.1             10.22.1.3             TCP      128
199.144.126.62        10.22.1.3             TCP      128
199.144.126.62        10.22.1.3             TCP      128
199.144.126.62        10.22.1.3             TCP      128
199.144.126.62        10.22.1.3             TCP      128
199.144.126.62        10.22.1.3             TCP      128
199.144.126.62        10.22.1.3             TCP      128
199.144.126.62        10.22.1.3             TCP      128
199.144.126.62        10.22.1.3             TCP      128
199.144.126.62        10.22.1.3             TCP      128
199.144.126.62        10.22.1.3             TCP      128
199.144.126.62        10.22.1.3             TCP      128
199.144.126.62        10.22.1.3             TCP      128
199.144.126.62        10.22.1.3             TCP      128
199.144.126.62        10.22.1.3             TCP      128
199.144.126.62        10.22.1.3             TCP      128
199.144.126.62        10.22.1.3             TCP      128
199.144.126.62        10.22.1.3             TCP      128
199.144.126.62        10.22.1.3             TCP      128
